gene_name,gene_biotype,chromosome,strand,transcript_count
TSPAN6,protein_coding,chrX,-,5
TNMD,protein_coding,chrX,+,2
DPM1,protein_coding,chr20,-,6
SCYL3,protein_coding,chr1,-,5
C1orf112,protein_coding,chr1,+,9
FGR,protein_coding,chr1,-,7
CFH,protein_coding,chr1,+,6
FUCA2,protein_coding,chr6,-,3
GCLC,protein_coding,chr6,-,13
NFYA,protein_coding,chr6,+,2
STPG1,protein_coding,chr1,-,12
NIPAL3,protein_coding,chr1,+,7
LAS1L,protein_coding,chrX,-,5
ENPP4,protein_coding,chr6,+,1
SEMA3F,protein_coding,chr3,+,9
CFTR,protein_coding,chr7,+,11
ANKIB1,protein_coding,chr7,+,7
CYP51A1,protein_coding,chr7,-,5
KRIT1,protein_coding,chr7,-,24
RAD52,protein_coding,chr12,-,19
BAD,protein_coding,chr11,-,7
LAP3,protein_coding,chr4,+,11
CD99,protein_coding,chrX,+,12
HS3ST1,protein_coding,chr4,-,3
AOC1,protein_coding,chr7,+,7
WNT16,protein_coding,chr7,+,2
HECW1,protein_coding,chr7,+,11
MAD1L1,protein_coding,chr7,-,23
LASP1,protein_coding,chr17,+,9
SNX11,protein_coding,chr17,+,13
TMEM176A,protein_coding,chr7,+,11
M6PR,protein_coding,chr12,-,13
KLHL13,protein_coding,chrX,-,11
CYP26B1,protein_coding,chr2,-,5
ICA1,protein_coding,chr7,-,18
DBNDD1,protein_coding,chr16,-,7
ALS2,protein_coding,chr2,-,12
CASP10,protein_coding,chr2,+,13
CFLAR,protein_coding,chr2,+,25
TFPI,protein_coding,chr2,-,13
NDUFAF7,protein_coding,chr2,+,13
RBM5,protein_coding,chr3,+,26
MTMR7,protein_coding,chr8,-,9
SLC7A2,protein_coding,chr8,+,5
ARF5,protein_coding,chr7,+,6
SARM1,protein_coding,chr17,+,8
POLDIP2,protein_coding,chr17,-,2
PLXND1,protein_coding,chr3,-,17
AK2,protein_coding,chr1,-,15
CD38,protein_coding,chr4,+,5
FKBP4,protein_coding,chr12,+,8
KDM1A,protein_coding,chr1,+,6
RBM6,protein_coding,chr3,+,20
CAMKK1,protein_coding,chr17,-,4
RECQL,protein_coding,chr12,-,8
VPS50,protein_coding,chr7,+,20
HSPB6,protein_coding,chr19,-,3
ARHGAP33,protein_coding,chr19,+,13
NDUFAB1,protein_coding,chr16,-,5
PDK4,protein_coding,chr7,-,5
